Lambda_Values,Tau_0_Values,IsIrreducible
0.0,2.738627423055096,false
1.0,3.042285358183799,false
2.0,3.3061091040111568,true
3.0,3.487529650914788,true
4.0,3.6160120454861455,true
5.0,3.727325128176094,false
6.0,3.8298004241168315,true
7.0,3.925282706074498,true
8.0,4.009864526138079,false
9.0,4.078980587288241,true
10.0,4.135700339164124,true
11.0,4.184808694776209,true
12.0,4.23192340800034,false
13.0,4.2773781226225,true
14.0,4.321341428328849,true
15.0,4.363954863039153,true
16.0,4.405338592164098,true
17.0,4.44559572201994,true
18.0,4.484815534686125,true
19.0,4.52307597161037,true
20.0,4.560445566714602,true
21.0,4.596984975610286,true
22.0,4.6327481953622796,true
23.0,4.676904799223599,true
24.0,4.706803152065296,true
25.0,4.763457894482048,true
26.0,4.765053673031998,true
27.0,4.8129795994599505,true
28.0,4.8371792432707155,true
29.0,4.861027597431831,true
30.0,4.88454023551395,true
31.0,4.907731519723798,true
32.0,4.930614812301723,true
33.0,4.95320255234992,true
34.0,4.975506344075923,true
35.0,4.9975370343678645,true
36.0,5.019304805614966,true
37.0,5.04081913885,true
38.0,5.0620890138371415,true
39.0,5.08312285958502,true
40.0,5.103928621641651,true
41.0,5.124513800573305,true
42.0,5.144885486556082,true
43.0,5.16505039055292,true
44.0,5.185014872481923,true
45.0,5.204784966725843,true
46.0,5.224366405285186,true
48.0,5.262984855930404,true
49.0,5.282032000510359,true
50.0,5.300910787957361,true
51.0,5.31962571978321,true
52.0,5.338181097125579,true
53.0,5.356581033157824,true
54.0,5.374829464519683,true
55.0,5.392930161862263,true
56.0,5.410886739590252,true
57.0,5.428702664875285,true
58.0,5.446381266006412,true
59.0,5.463925740136631,true
60.0,5.4813391604783614,true
61.0,5.498624483051307,true
62.0,5.515784552689875,true
63.0,5.532822109186045,true
64.0,5.549739792487355,true
65.0,5.566540147816609,true
66.0,5.583225630407895,true
67.0,5.599798609940349,true
69.0,5.632616135441834,true
70.0,5.6488650291188875,true
71.0,5.66501012225012,true
72.0,5.6810534141895985,true
73.0,5.696996840163118,true
74.0,5.712842274136136,true
75.0,5.728591531517605,true
76.0,5.7442463717113235,true
77.0,5.759808500525286,true
78.0,5.775279572448342,true
80.0,5.8059549197861156,true
81.0,5.821162266392226,true
82.0,5.836284702248747,true
83.0,5.8513236553468015,true
84.0,5.86628051368728,true
85.0,5.881156626843124,true
86.0,5.895953307443637,true
87.0,5.910671832585256,true
88.0,5.925313445173232,true
89.0,5.939879355199746,true
90.0,5.954370740958895,true
91.0,5.968788750205979,true
92.0,5.983134501261778,true
93.0,5.997409084065926,true
94.0,6.0116135611819965,true
95.0,6.025748968756837,true
96.0,6.03981631743863,true
97.0,6.053816593249511,true
98.0,6.0677507584270245,true
99.0,6.081619752221229,true
100.0,6.095424491668455,true
101.0,6.109165872302232,true
102.0,6.122844768899432,true
103.0,6.13646203611031,true
104.0,6.150018509124849,true
105.0,6.163515004309713,true
106.0,6.176952293823145,true
109.0,6.216916904202098,true
110.0,6.230125135540675,true
111.0,6.243277922906792,true
112.0,6.256375966078343,true
113.0,6.269419950129587,true
114.0,6.282410545860231,true
116.0,6.308234186671341,true
118.0,6.33385198488302,true
119.0,6.346585203702738,true
120.0,6.359268807115929,true
121.0,6.371903375052307,true
122.0,6.384489429941435,true
124.0,6.409518298869952,true
125.0,6.421962199563067,true
126.0,6.434359785099808,true
128.0,6.459014281517681,true
129.0,6.471243501502431,true
130.0,6.48339574306654,true
131.0,6.495472148832216,true
132.0,6.5074738342491765,true
133.0,6.519401888282851,true
134.0,6.531257374334236,true
135.0,6.5430413310940425,true
136.0,6.554754773353676,true
137.0,6.566398692780982,true
138.0,6.577974058662719,true
139.0,6.589481818616093,true
140.0,6.600922899279229,true
141.0,6.6122982070096175,true
142.0,6.623608628116311,true
144.0,6.646029583701095,true
145.0,6.657131210757507,true
146.0,6.668160615341544,true
147.0,6.679118825660677,true
148.0,6.6900068471940095,true
149.0,6.700825663304094,true
150.0,6.711576235913713,true
152.0,6.732876394955949,true
153.0,6.743427803694269,true
154.0,6.753914614707475,true
155.0,6.764337691872642,true
156.0,6.7746978811293745,true
157.0,6.784996010989401,true
158.0,6.795232872269061,true
160.0,6.815526057318576,true
161.0,6.825583902971488,true
162.0,6.835583586950751,true
164.0,6.855411411027358,true
165.0,6.865240955013758,true
166.0,6.875015187471544,true
167.0,6.884734786958426,true
168.0,6.8944004191485115,true
169.0,6.904012737165321,true
170.0,6.913572381903682,true
171.0,6.923079982341791,true
172.0,6.932536155842672,true
173.0,6.94194148753945,true
175.0,6.960602099276167,true
176.0,6.969858516376064,true
178.0,6.988226411571154,true
179.0,6.997338966038941,true
181.0,7.015423980818063,true
182.0,7.024397481880304,true
184.0,7.042209006435591,true
185.0,7.051048018111549,true
186.0,7.059843174276604,true
190.0,7.094594597190265,true
191.0,7.10317742364285,true
193.0,7.1202201178409075,true
194.0,7.128680836244199,true
195.0,7.137101691285858,true
199.0,7.170394552758876,true
201.0,7.186812125335738,true
206.0,7.2272125158246245,true
212.0,7.2745295080499695,true
213.0,7.28229692493182,true
214.0,7.2900312578374065,true
215.0,8.872602388326568,true
216.0,7.305401892713386,true
220.0,7.335759345808658,true
227.0,7.387700610996775,true
228.0,7.395002056173145,true
229.0,7.4022745896538416,true
233.0,7.431080534016899,true
234.0,7.438212176352792,true
253.0,7.568743165256956,true
258.0,7.601625394295807,true
261.0,9.30808012488107,true
264.0,7.640337597127228,true
265.0,7.646712814175735,true
270.0,7.678269292402873,true
279.0,7.733776151624471,true
281.0,9.478951656231947,true
284.0,7.763925628810642,true
290.0,7.799485999724156,true
297.0,7.8401535569398035,true
299.0,7.851616061857006,true
