Lambda_Values,Tau_0_Values,IsIrreducible
3.0,4.472161338458593,true
8.0,5.249642246170449,true
9.0,5.325126426113154,true
13.0,5.530692672890118,true
15.0,5.606929944438851,true
16.0,5.643489277883053,true
17.0,5.679107674945156,true
18.0,5.712351735281836,true
19.0,5.742416161382333,true
20.0,5.769615816277345,true
21.0,5.794244191079067,true
22.0,5.816571544420253,true
24.0,5.856262532205542,true
25.0,5.875329691017527,true
26.0,5.894083288600236,true
27.0,5.912538989872645,true
28.0,5.8613046906853725,true
32.0,6.00081474709652,true
33.0,6.017749010327936,true
34.0,6.034465836289114,true
35.0,6.050973709326838,true
36.0,6.067280566303043,true
37.0,6.083393845305015,true
41.0,6.1460447800125735,true
42.0,6.161287061750194,true
43.0,6.176372042150319,true
44.0,6.191304652147881,true
45.0,6.206089566283744,true
46.0,6.2307345885150776,true
47.0,6.271783121485934,true
49.0,6.266939875104658,true
50.0,6.299692935392934,true
51.0,6.3088627699744695,true
52.0,6.3179684760013295,true
53.0,6.327011514255901,true
54.0,6.3359932883499726,true
55.0,6.344915147885218,true
56.0,6.353778391389291,true
57.0,6.3625842690469145,true
58.0,6.3713339852433135,true
60.0,6.3886695358668915,true
61.0,6.397257570633903,true
62.0,6.405793816686746,true
63.0,6.41427934588547,true
64.0,6.422715100581178,true
65.0,6.431102022954716,true
67.0,6.4477329878163046,true
68.0,6.455978767161144,true
69.0,6.464179190467443,true
70.0,6.472335060132802,true
71.0,6.480447154204509,true
72.0,6.488516227425378,true
74.0,6.504528219637276,true
75.0,6.51247254021702,true
76.0,6.520376644843561,true
77.0,6.528241185529826,true
78.0,6.536066796170417,true
79.0,6.543854093254457,true
81.0,6.559316129708049,true
82.0,6.56699205344408,true
84.0,6.582236349032762,true
85.0,6.589805817494433,true
87.0,6.60484195540654,true
88.0,6.612309610476834,true
89.0,6.619744293172097,true
90.0,6.627146466638325,true
91.0,6.634516582888683,true
92.0,6.641855083182501,true
93.0,6.649162398387635,true
94.0,6.656438949327049,true
95.0,6.663685147110488,true
96.0,6.67090139345201,true
97.0,6.678088080974128,true
98.0,6.685245593499219,true
100.0,6.699474586511936,true
101.0,6.706546793101283,true
102.0,6.71359127740077,true
103.0,6.720608383201995,true
104.0,6.727598447011819,true
105.0,6.734561798271009,true
106.0,6.741498759564373,true
107.0,6.748409646822841,true
108.0,6.755294769517841,true
109.0,6.762154430848358,true
110.0,6.768988927920979,true
111.0,6.775798551923271,true
112.0,6.7825835882907795,true
113.0,6.789344316867949,true
114.0,6.796081012063219,true
115.0,6.802793942998569,true
116.0,6.809483373653742,true
117.0,6.816149563005389,true
118.0,6.822792765161348,true
119.0,6.829413229490258,true
120.0,6.8360112007467375,true
121.0,6.842586919192262,true
122.0,6.849140620711969,true
123.0,6.855672536927538,true
124.0,6.8621828953062955,true
125.0,6.868671919266721,true
126.0,6.875139828280504,true
127.0,6.88158683797124,true
128.0,6.888013160209983,true
129.0,6.894419003207684,true
130.0,6.900804571604734,true
131.0,6.907170066557641,true
133.0,6.919841623838827,true
134.0,6.926148071803459,true
135.0,6.932435217751904,true
136.0,6.938703246629956,true
137.0,6.944952340366042,true
138.0,6.951182677940899,true
139.0,6.95739443545519,true
140.0,6.963587786195092,true
141.0,6.96976290069598,true
142.0,6.97591994680422,true
